Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
Mg-Dis,FAAS-AAc-D-NA,mg/l,Magnesium - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 Digestion,Spectroscopy,SM 3111 B,APHA 2012,"The sample is digested with HNO3. A sample aliquot is mixed with a standard LaCl3 solution. The solution is aspirated. The absorption at the 285.2 is measured spectrometrically and compared with those of a reagent blank and standard Mg solution. An acetylene-air reducing flame is used. The autoanalysis unit consisting of an automated sampler, manifold and transmission delay line are incorporated so that the sample is diluted. The magnitude of the dilution is proportioned to the diameter of the auxiliary pump line."
Mg-Dis,IC-CSC,mg/l,Magnesium - Dissolved,Ion Chromatography with Chemical Suppression of Eluent Conductivity,Chromatography,ISO 14911,ISO 1998,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is injected into an eluent stream, pumped through two columns (separator and suppressor columns) before being detected by a conductivity meter. The sample concentration is compared to the peak height or area and retention time of identically-prepared standard and blank solutions."
Mg-Dis,ICP-AES,mg/l,Magnesium - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved with dilute mineral acid. The sample aliquot is aspirated and the emission is measured at 279.5 nm and compared to identically-prepared standard and blank solutions.
Mg-Dis,ICP-AES-Xtr,mg/l,Magnesium - Dissolved,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,A Sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is concentrated appropriately and aspirated from an autosampler. The emission is measured at 279.5 nm and compared to identically-prepared standard and blank solutions.
Mg-Dis,ICP-MS,mg/l,Magnesium - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is injected into an eluent stream, pumped through two columns (separator and suppressor columns) before being detected by a conductivity meter. The sample concentration is compared to the peak height or area and retention time of identically-prepared standard and blank solutions."
Mg-Dis,Mg-CALC-H-Ca,mg/l,Magnesium - Dissolved,Calculation Method (Mg),Calculation,SM 3500-Mg B,APHA 2012,"A sample is preserved in the field at 4°C. The magnesium concentration in the sample aliquot is calculated from the values of the Total Hardness (determined by EDTA titration) and Calcium Dissolved. Total Hardness (TH): The pH of a sample aliquot is adjusted to 10.0 ± 0.1 with a NaOH solution; an indicator (Eriochrome Black T) is added and the aliquot is slowly titrated with EDTA to remove the calcium and magnesium from the complex dye. The colour changes from a wine red to a blue colour (a fluorescent light is highly recommended to see the complete disappearance of the red). TH (as CaCO3) = A x B x 1000/mL sample; Calcium:The pH of a sample aliquot is adjusted between 12 and 13 with a NaOH solution to precipitate the magnesium; the indicator (Eriochrome Blue Black R or Murexide) is added and reacts only with calcium if the sample is immediately but slowly titrated with EDTA. mg/L Ca (as CaCO3) = A x B x 1000/mL sample; where A = mL of titration; B = mg CaCO3 equivalent to 1.00 mL of EDTA titrant; METHOD 1:mg/L Mg = TH (mg/L CaCO3) - Ca hardness (mg/L CaCO3) x 0.244. Interference: suspended and colloidal organic matter and high metal concentrations (Cu > 2 mg/L, Fe > 29 mg/L, Mn > 10 mg/L, Zn > 5 mg/L, Pb > 5 mg/L, Al > 5 mg/L, etc). The sample should be diluted to minimise contaminations. METHOD 2: Mg = (TH*0.01998 - Ca*0.0499)*12.16;Caution: These calculated results are computed from measured analytical values according to the formula indicated. The computations may be in error if the parameters used in the calculation are subsequently edited or changed."
Mg-Dis,T-COL-EDTA-EBT,mg/l,Magnesium - Dissolved,Colorimetric Titration with EDTA using Eriochrome Black T as Indicator,Titration,SM 2340 C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The pH of the sample aliquot is adjusted to 10.0 ± 0.1 with a buffer (NH4Cl, NH4OH and Mg EDTA salt) solution; an indicator (Eriochrome Black T) is added and the aliquot then is slowly titrated with EDTA within five minutes to avoid precipitation. The colour changed from a wine red to a blue colour (a fluorescent light is highly recommended to see the complete disappearance of the red). Interference: Ca ion concentration of 1 mg/L, total heavy metal ion concentrations of 0.5 mg/L."
Mg-Tot,FAAS-AAc-D,mg/l,Magnesium - Total,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,A sample is collected and preserved in the field at 4°C. The shaken sample aliquot is mixed with a LaCl3 solution and aspirated in an air-acetylene reducing flame. The absorbance is measured spectrometrically at 285.2 nm and compared to identically-prepared standard and blank solutions.
Mg-Tot,ICP-AES,mg/l,Magnesium - Total,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,After preparing samples and obtaining the correct operating conditions. Calibrate the instrument and analyze the samples. Analysis is done by running a calibration blank and then the actual sample. Rise for at least 60 seconds with dilute acid between samples and blanks. Analyze instrument check standard once per 10 samples. Suggested wavelength for Mg is 279.08 nm
Mg-Tot,ICP-AES-Dgs,mg/l,Magnesium - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,Samples are preserved with 2mL concentrated HN03 per litre. A sample aliquot is digested with HNO3 and evaporated to near dryness. The residue is taken up in HCl and again digested to near dryness. The residue is dissolved in one-tenth of the aliquot volume of deionised water. The emission is measured spectrophotometrically at 279.6 nm and compared with standard solutions.
Mg-Tot,Mg-CALC-H-Ca,mg/l,Magnesium - Total,Calculation Method (Mg),Calculation,SM 3500-Mg B,APHA 2012,By Calculation following Total Hardness and Total Calcium determinations.
Mg-Tot,Mg-COL-PHOT,mg/l,Magnesium - Total,Palintest Photometer Method - Magnesium (MAGNECOL),Colorimetry,PHOT.21.AUTO,PALINTEST 2013,"The Palintest Magnecol test is based on a simple colorimetric procedure. Magnesium reacts with an organic reagent to produce an orange coloured complex. Using the measuring syringe take a 1 ml sample of the water under test. Transfer to the round test tube and make up to the 10 ml mark with deionized water. Add one Magnecol tablet, crush and mix to dissolve. Stand for five minutes to allow full colour development and the slight turbidity to clear. Take photometer reading in usual manner.~r~n~r~nTesting range is 0 - 500 mg/l"
Mg-Tot,T-COL-EDTA-EBT,mg/l,Magnesium - Total,Colorimetric Titration with EDTA using Eriochrome Black T as Indicator,Titration,SM 2340 C,APHA 2012,"A sample is preserved in the field at 4°C. The pH of the sample aliquot is adjusted to 10.0 ± 0.1 with a buffer (NH4Cl, NH4OH and Mg EDTA salt) solution; an indicator, Eriochrome Black T, is added and the aliquot then is slowly titrated with EDTA within five minutes to avoid precipitation. The colour changed from a wine red to a blue colour (a fluorescent light is highly recommended to see the complete disappearance of the red). Interference: Ca ion concentration of 1 mg/L, total heavy metal ion concentrations of 0.5 mg/L"
Mn-Dis,AAS-E,mg/l,Manganese - Dissolved,Electrothermal Atomic Absorption Spectrometric Method,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is heated, usually in three stages, in a graphite furnace or an electrically heated atomiser in which: in the first stage, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the manganese to be determined. The absorbance of the resultant ground state atoms is measured at 279.5 nm and is compared to identically-prepared standard and blank solutions."
Mn-Dis,COL-TDM,mg/l,Manganese - Dissolved,Spot Test with Tetrabase,Colorimetry,NAQ 25101,Environment Canada 1988,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with mineral acid. The sample aliquot is mixed with an NH4OH solution, a KIO4 solution, and a buffer (pH = 4.75) solution. A Tetrabase (tetramethyldiaminodiphenylmethane) solution is finally added and mixed. The resulting colour is immediately visually compared to those of simultaneously and identically-prepared MnO4 standard and blank solutions."
Mn-Dis,FAAS-AAc-D,mg/l,Manganese - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated and the absorbance is measured spectrometrically at 279.8 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Mn-Dis,FAAS-AAc-E,mg/l,Manganese - Dissolved,Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry,Spectroscopy,SM 3111 C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The pH of the digest is adjusted between 10 and 11 with an ammonium hydroxide solution, mixed with an ammonium pyrrolidine dithiocarbamate (APDC) solution then extracted with a methyl isobutyl ketone (MIBK) solution containing 8-hydroxyquinoline. The solvent layer (See Appendix 5) is aspirated at the wavelength of 279.8 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidising flame."
Mn-Dis,ICP-AES,mg/l,Manganese - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated and the emission is measured at 257.6 nm and compared to identically-prepared standard and blank solutions.
Mn-Dis,ICP-AES-Xtr,mg/l,Manganese - Dissolved,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,A sample is filtered in the field through a 0.45 µm filter paper and preserved with nitric acid. The sample aliquot is concentrated appropriately and aspirated from an autosampler. The emission is measured at 257.6 nm and compared to identically-prepared standard and blank solutions.
Mn-Dis,ICP-MS,mg/l,Manganese - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"The sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Mn-Tot,AAS-E-NA-AR,mg/l,Manganese - Total,Electrothermal Atomic Absorption Spectrometric Method with HNO3 or HNO3+3HCl Digestion,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia. The aliquot is then heated, usually in three stages in a graphite furnace or an electrically heated atomiser where: in the first stage, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the manganese to be determined. The absorbance of the resultant ground state atoms is measured at 279.5 nm and is compared to identically-prepared standard and blank solutions."
Mn-Tot,COL-KI,mg/l,Manganese - Total,Periodatae Absorptiometry,Colorimetry,JIS K 0102 56.1,JSA 1998,A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or sulphuric acid and oxidized with sodium bismithate or potassium periodate. The colour is read on a spectrometer 20 (or equivalent) and compared with identically-prepared standard and blank solutions.
Mn-Tot,FAAS-AAc-D-NA,mg/l,Manganese - Total,Direct Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 Digestion,Spectroscopy,SM 3111 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested with nitric acid. The solution is aspirated and the absorbance is measured spectrometrically at 279.8 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Mn-Tot,FAAS-AAc-E-NA,mg/l,Manganese - Total,Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 digestion,Spectroscopy,SM 3111 C,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested with nitric acid. The pH of the digest is adjusted between 10 and 11 with an ammonium hydroxide solution, mixed with an ammonium pyrrolidine dithiocarbamate (APDC) solution then extracted with a methyl isobutyl ketone (MIBK) solution containing 8-hydroxyquinoline. The solvent layer (See Appendix 5) is aspirated at the wavelength of 279.8 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Mn-Tot,ICP-AES-Dgs,mg/l,Manganese - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,A sample is preserved in the field with diluted mineral acid. The sample aliquot is digested with aqua regia and evaporated to near dryness. The residue is dissolved in concentrated HCl and diluted to one-fifth of the aliquot original volume. The emission is measured at 257.6 nm and compared to identically-prepared standard and blank solutions
Mn-Tot,ICP-AES-Xtr,mg/l,Manganese - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid and oxidized with sodium bismithate. The colour is read on a spectrometer 20 (or equivalent) and compared with identically-prepared standard and blank solutions.
Mn-Tot,ICP-MS,mg/l,Manganese - Total,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is preserved in the field with mineral acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Mn-Tot,ICP-MS-CVD,mg/l,Manganese - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Mn-Tot,ICP-SFMS-CVD,mg/l,Manganese - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Mn-Tot,Mn-COL-PHOT-HR,mg/l,Manganese - Total,Palintest Photometer Method - Manganese (Manganese HR),Colorimetry,PHOT.20.AUTO,PALINTEST 2005,
Mo-Tot,ICP-AES-Dgs,mg/l,Molybdenum - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,"Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis."
Mo-Tot,ICP-AES-Xtr,mg/l,Molybdenum - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,Digestion with HNO3/HCl. Preconcentration by evaporation (factor 5 to 10).
Mo-Tot,ICP-MS-CVD,mg/l,Molybdenum - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Mo-Tot,ICP-SFMS-CVD,mg/l,Molybdenum - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
MPXYLS,P-T-GC-FID,µg/l,M-P-Xylene,Purge and Trap Capillary-Column Gas Chromatographic Method with Flame Ionization Detector,Chromatography,SM 6200 C,APHA 2012,"Purge-and-trap gas chromatography using a capillary column and flame ionization detection. A 5.0 mL water sample is purged with nitrogen and released volatiles are adsorbed onto a Tenax No3 GC trap. Analytes are thermally desorbed onto a PE-502.2 capillary column into a flame ionization detector. Identification and quantification are performed according to retention times and peak area using a multi-point calibration curve. Confirmation is achieved using a second capillary column, such as PE-5 or PE-1301."
Na-Dis,FAAS-AAc-D,mg/l,Sodium - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved in a polyethylene bottle at 4°C. The sample aliquot is mixed with a lanthanum solution, as an internal standard, and the absorbance is measured spectrometrically at 589 nm, using an air-acetylene oxidizing flame. The absorbance produced is proportional to the concentration of sodium in the sample and compared to identically-prepared standard and blank solutions."
Na-Dis,FAES-AAc-D,mg/l,Sodium - Dissolved,Direct Air-Acetylene Flame Atomic Emission Spectrometry,Spectroscopy,SM 3111 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved in a polyethylene bottle at 4°C. The sample aliquot is mixed with a lanthanum solution. The absorbance is measured spectrometrically at 589 nm and compared to identically-prepared Na standard and blank solutions, using an air-acetylene oxidizing flame."
Na-Dis,FPD,mg/l,Sodium - Dissolved,Flame Photometric Detection,Spectroscopy,SM 3500-K/Na B,APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter. The sample is then aspirated in a flame photometer and the direct intensity of the light emission of the analyte is measured.
Na-Dis,ICP-AES,mg/l,Sodium - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,The sample is filtered in the field through a 0.45 µm membrane filter and preserved in a polyethylene bottle with dilute mineral acid. The sample aliquot is aspirated and the emission is measured at 589 nm and compared to identically-prepared standard and blank solutions.
Na-Dis,ICP-AES-Xtr,mg/l,Sodium - Dissolved,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved in a polyethylene bottle with nitric acid. The sample aliquot is concentrated appropriately and aspirated from an autosampler. The emission is measured at 589.0 nm and compared to identically-prepared standard and blank solutions.
Na-Dis,ICP-MS,mg/l,Sodium - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A water sample is filtered through a glass fiber filter (GF/F) heat-treated at 400°C in advance, and used as a test solution. Concentrations of the target substances (Na) in the sample are adjusted with purified water to fall within the range (0.0006-0.06mg/L). A total of 1 part of nitric acid (i.e. including that added at the time of the sample collection) are added per 100 parts of the sample, and the sample is then gently heated until the solution volume becomes less than 90% of the original volume. After cooling, 1 part of internal standard mixture is added to 10 parts of the sample. Additionally, purified water is added to bring the solution up to a known volume, and this is used as the test solution. The test solution is introduced into an ICP-MS and the ion intensities at the mass numbers of metals of interest as well as the internal standard substance are measured. A series of standard solutions are prepared and handled in exactly the same way as the test solution in order to prepare calibration curves based on the relationships between metal concentration and ion intensity ratio for each metal."
Na-Dis,Na-IC-CSC,mg/l,Sodium - Dissolved,Ion Chromatography with Chemical Suppression of Eluent Conductivity (Sodium),Chromatography,JIS K 0102 48.3,JSA 1998,"A sample is filtered in the field through a 0.45 µm filter and preserved in a polyethylene bottle at 4 °C. A sample aliquot is injected into an eluent stream, pumped through two columns (separator and suppressor columns) before being detected by a conductivity meter. The sample concentration is compared to the peak height or area and retention time of identically-prepared standard and blank solutions."
Na-Tot,FAAS-AAc-D,mg/l,Sodium - Total,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"The sample is collected and preserved in a polyethylene bottle at 4°C. A shaken sample aliquot is mixed with a lanthanum solution, as an internal standard, and the absorbance is measured spectrometrically at 589 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Na-Tot,FPD,mg/l,Sodium - Total,Flame Photometric Detection,Spectroscopy,SM 3500-K/Na B,APHA 2012,"The sample is collected and preserved in a polyethylene bottle at 4°C. A sample aliquot is mixed with lithium nitrate and passed into the burner of a flame photometer equipped with filters to isolate the spectral lines of sodium. The intensity of light produced is proportional to the concentration of sodium in the sample and compared to identically-prepared standard and blank solutions, using propane and air flame."
Na-Tot,ICP-AES-Dgs,mg/l,Sodium - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,"Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis."
Na-Tot,ICP-AES-ENV440,mg/l,Sodium - Total,Inductively Coupled Plasma (ICP) Method (Environment Canada 1995),Spectroscopy,SM 3120 B,APHA 2012,The whole water sample is preserved with 0.2% HNO3 and digested with HNO3 / HCl. The digest is analyzed by ICP-AES.
Na-Tot,Na-Wag-CALC,mg/l,Sodium - Total,Calculated - Wagtech Photometer (Na),Calculation,,,Sodium concentration is calculated through a null ionic balance:~r~n Na = SUM(anions) - (Ca + Mg + K + metals)
NH3N,COL-NAPH,mg/l,Free Ammonia Nitrogen,1-naphthol Method,Colorimetry,,JWWA 2001,
NH3N,COL-NES,mg/l,Free Ammonia Nitrogen,Nesslerization Method (Direct),Colorimetry,SM 418 B,APHA 1975,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is dechlorinated with ZnSO4, the pH is adjusted to 10.5 with NaOH to precipitate Ca, Mg, Fe and sulfides and mix. EDTA is also added (or Rochelle salt) to remove the Ca, Mg or other ions producing turbidity before adding the Nessler reagent. Add Nessler reagent (100g HgI2 + 70g KI in water, add slowly to a cool solution of 160 g NaOH in 500 mL water and dilute to one litre) and mix the sample by inverting the Nessler tube. Visually compare the colour intensity of the sample aliquot against identically-prepared standard and blank solutions."
NH3N,COL-NES-DST,mg/l,Free Ammonia Nitrogen,Nesslerization Method (Following Distillation),Colorimetry,SM 418 A; SM 418 B,APHA 1975,"A sample is filtered in the field and preserved at 4°C. An alkaline potassium permanganate solution is added to the sample aliquot and is partly distilled in a boric acid solution, followed by Nesslerization. Visual Comparison with identically-prepared standard (or permanent standards) and blank solutions determines the concentration of the sample."
NH3N,COL-OTO,mg/l,Free Ammonia Nitrogen,Colourimetry (O-Tolidine),Colorimetry,ENV 284,Environment Canada 1995,"If turbid, the sample is decanted. A simple aliquot is mixed with an alkaline sodium hexametaphosphate (Na2O:P2O5 1:1 w/w) solution, and dialyzed through a membrane into a phosphate buffer solution (pH=7.5) to remove interfering ions. The dialyzed solution is mixed with a NaOCl solution. After the NH3 is chlorinated, the solution is mixed with a solution of oxalic and monochloroacetic acids to remove excess OCl- ion. This solution is then mixed with an o-tolidine (3,3-dimethyl-4,4'-diaminodiphenyl dihydrochloride) solution. The resulting colour is measured spectrophotometrically at 420 mu and compared with those of standard NH3 solutions."
NH3N,COL-PHE,mg/l,Free Ammonia Nitrogen,Phenate Method,Colorimetry,SM 4500-NH3 F,APHA 2012,"A sample is filtered in the field and preserved at 4°C. The sample aliquot is treated with an Alkaline phenol solution, followed by a hypochlorite solution as an oxidizing agent, and Na nitroprusside solution (NA2FE(CN)5NO.2H2O) as a catalyst; the sample aliquot is mixed and allowed to stand at room temperature for 1 hour. The absorbance is then read at 640 nm and compared to identically-prepared standard and blank solutions."
NH3N,COL-PHE-APHA1976,mg/l,Free Ammonia Nitrogen,Phenate Method (APHA 1976),Colorimetry,SM 604,APHA 1976,"A sample is filtered in the field through a 0.45 µ membrane filter and preserved at 4°C. The sample aliquot is mixed with an alkaline phenol solution, followed by sodium hypochlorite and potassium sodium tartrate. The indophenol blue complex produced is read at 630 nm and is compared to the identically-prepared ammonia standard and blank solutions.~r~n~r~n Note: In the case of precipitation samples, a decanted aliquot of the unshaken, unfiltered sample is normally taken for analysis."
NH3N,COL-PHE-Auto,mg/l,Free Ammonia Nitrogen,Automated Phenate Method,Colorimetry,SM 4500-NH3 G,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is treated with an Alkaline phenol solution, followed by a hypochlorite solution as an oxidizing agent, and Na nitroprusside solution (NA2FE(CN)5NO.2H2O) as a catalyst; the sample aliquot is mixed and allowed to stand at room temperature for 1 hour. The absorbance is then read at 640 nm and compared to identically-prepared standard and blank solutions."
NH3N,IC-CSC,mg/l,Free Ammonia Nitrogen,Ion Chromatography with Chemical Suppression of Eluent Conductivity,Chromatography,ISO 14911,ISO 1998,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C The sample aliquot is injected into an eluent stream and pumped through two columns (separator and suppressor columns) before being detected by conductivity, identified by its retention time and peak height or area and compared to identically-prepared standard and blank solutions."
NH3N,NH3-CALC,mg/l,Free Ammonia Nitrogen,Free Ammonia Calculation from Ammonium,Calculation,,,NH3 = NH4+ / [1.0 + 10*(10.055 - (0.0324*temp) - pH)]
NH3N,NH3-T-COL,mg/l,Free Ammonia Nitrogen,Titrimetric Method,Titration,4500-NH3 B; C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. If necessary, the sample aliquot is neutralized to pH=7. A phosphate buffer (pH=7.4) solution is added. If Ca ion exceeds 250 mg/L, more buffer solution is added and the solution is titrated to pH=7.4. The sample aliquot is partly distilled and the distillate is collected in a H3BO3 solution and then titrated with 0.02N H2SO4, using the 'N Point' indicator."
NH3N,UV-Vis-AS,mg/l,Free Ammonia Nitrogen,Ultraviolet-Visible Spectrophotometry,Spectroscopy,,,
NH4N,COL-NES-DST,mg/l,Total Ammonia Nitrogen,Nesslerization Method (Following Distillation),Colorimetry,SM 418 A; SM 418 B,APHA 1975,An aliquot of the sample is distilled in a mixture of Magnesium Carbonate and boiling stones. The distillate is reacted with a Nessler's reagent and left standing for 10 minutes for colour development. The ammonia concentration is determined by comparing the colour of the aliquot to a set of coloured discs.
NH4N,COL-PHE,mg/l,Total Ammonia Nitrogen,Phenate Method,Colorimetry,SM 4500-NH3 F,APHA 2012,"Ammonium reacts in a mildly alkaline medium with hypochlorite to form monochloramine, which forms indophenol-blue in the presence of phenol, catalytic quantities of nitroprusside and an excess of hypochlorite. Monochloramine formation requires a pH between 8 and 11,5. At higher pH values, incomplete oxidation of ammonium to nitrite occurs. Precipitates of calcium and magnesium hydroxide are formed at pH values higher than 9,6 and a complexing agent (citrate) is added to prevent precipitation. The complex is read colourimetrically at 630 nm."
NH4N,COL-PHE-DST,mg/l,Total Ammonia Nitrogen,Phenate Method (Following Distillation),Colorimetry,"4500-NH3 B, F",APHA 2012,
NH4N,COL-PHE-ENV1995,mg/l,Total Ammonia Nitrogen,Phenate Method (Environment Canada 1995),Colorimetry,ENV 219,Environment Canada 1995,"The shaken sample is digested with concentrated H2SO4, in the presence of K2S2O8 or disodium EDTA, or dipotassium EDTA. The resultant NH3 is then determined colourimetrically on an autoanalyzer with alkaline phenol, potassium sodium tartrate and sodium hypochlorite (Berthelot method). The resulting colour is measured at 630 nm. For total ammonia do not do a digestion."
NH4N,COL-PHE-FIA,mg/l,Total Ammonia Nitrogen,Flow Injection Analysis,Colorimetry,SM 4500-NH3 H,APHA 2012,Setup manifold. Follow methods supplied by column and instrument manufacturer or laboratory's standard operating procedure for this method.
